Sample for t = 0.0
parameter = [0.09730407298622369] likelihood = -641740123.420035
parameter = [0.11655833968820327] likelihood = -447233700.5721835
parameter = [0.1745907417245932] likelihood = -199332811.4024328
parameter = [0.17908614892697258] likelihood = -189451137.1254564
parameter = [0.35556251614223455] likelihood = -48060611.11149445
parameter = [0.2888903672915022] likelihood = -72803974.1955235
parameter = [0.7216288582863135] likelihood = -11667934.964916935
parameter = [0.5560876158563455] likelihood = -19648752.61525431
parameter = [0.18216269104520916] likelihood = -183105902.4068244
parameter = [0.12015793535812185] likelihood = -420839320.7202345
parameter = [0.09623168277440128] likelihood = -656122713.4736518
parameter = [0.06507484077942102] likelihood = -1434812044.9557781
parameter = [0.3487070679354717] likelihood = -49968892.8471215
parameter = [0.15691978416900126] likelihood = -246754914.86988294
parameter = [0.23483023153705437] likelihood = -110182644.73554209
parameter = [0.10994035263744105] likelihood = -502697791.6192725
parameter = [0.1398838891582667] likelihood = -310517315.8473085
parameter = [0.26569893858134336] likelihood = -86067971.4584826
parameter = [0.22853913004509993] likelihood = -116332233.3356871
parameter = [0.18072796820874262] likelihood = -186024642.5329578
parameter = [0.5255879267894236] likelihood = -21995337.230401475
parameter = [0.4128795814833204] likelihood = -35643016.67129905
parameter = [0.35199480177739373] likelihood = -49039804.360436626
parameter = [0.21917581281837048] likelihood = -126484105.67970467
parameter = [0.08446476777136863] likelihood = -851667454.8679241
parameter = [0.09354722425265381] likelihood = -694319595.6556586
parameter = [0.26553820255379945] likelihood = -86172200.60830595
parameter = [0.054572087234438536] likelihood = -2040234634.810063
parameter = [0.10702095109262628] likelihood = -530497836.4923714
parameter = [0.10500862844207284] likelihood = -551024942.6805955
parameter = [0.45074977534207034] likelihood = -29905444.369718585
parameter = [0.3187305123980905] likelihood = -59810018.17863362
parameter = [0.56736374079529] likelihood = -18875492.632417947
parameter = [0.27289143740730404] likelihood = -81590837.12948224
parameter = [0.1758805109147795] likelihood = -196420030.81782913
parameter = [0.2566420447350509] likelihood = -92249833.71873415
parameter = [0.3533183109358693] likelihood = -48673092.23807417
parameter = [0.1378260924377609] likelihood = -319858822.24411845
parameter = [0.1169893896277624] likelihood = -443944087.44429374
parameter = [0.1832257706136526] likelihood = -180987298.12099326
parameter = [0.13476463884018025] likelihood = -334556381.3348315
parameter = [0.22382191625163025] likelihood = -121287483.81472388
parameter = [0.30942924025229895] likelihood = -63459772.617633194
parameter = [0.25872583534384785] likelihood = -90769848.37820943
parameter = [0.15983384618588495] likelihood = -237839352.95636347
parameter = [0.19468283159418945] likelihood = -160311951.23644888
parameter = [0.10711555769718052] likelihood = -529561157.67231417
parameter = [0.16527331089906427] likelihood = -222441471.50780424
parameter = [0.09273773549799404] likelihood = -706493645.4888502
parameter = [0.216210423210742] likelihood = -129977432.0801799
parameter = [0.1380076899181124] likelihood = -319017603.28424513
parameter = [0.06679805306682267] likelihood = -1361738237.9939492
parameter = [0.09589477452854453] likelihood = -660741139.7719065
parameter = [0.07668706544728622] likelihood = -1033182402.4468315
parameter = [0.07814260880429133] likelihood = -995051195.996389
parameter = [0.1289809549828307] likelihood = -365233030.4985583
parameter = [0.15941202178174788] likelihood = -239099724.4725728
parameter = [0.3823923148092563] likelihood = -41553052.62095186
parameter = [0.23500248044888267] likelihood = -110021183.58570018
parameter = [0.2625160217771563] likelihood = -88167713.34837176
parameter = [0.35119614829403445] likelihood = -49263100.29911439
parameter = [0.08804523980768486] likelihood = -783807606.7294205
parameter = [0.2608520165530117] likelihood = -89296165.25269744
parameter = [0.417912024050393] likelihood = -34789768.258403376
parameter = [0.15777112862307782] likelihood = -244099084.83101135
parameter = [0.325159419714215] likelihood = -57468324.92808953
parameter = [0.18066070665615244] likelihood = -186163185.5089058
parameter = [0.12722554235536723] likelihood = -375381272.1556393
parameter = [0.1149433316417453] likelihood = -459889681.100986
parameter = [0.12603448810632709] likelihood = -382509671.37023246
parameter = [0.12820506871006407] likelihood = -369667126.6415335
parameter = [0.1632977128027491] likelihood = -227856284.14184117
parameter = [0.11244394710568183] likelihood = -480561598.48230624
parameter = [0.14298687292990703] likelihood = -297186366.77248764
parameter = [0.28202673650178717] likelihood = -76390727.17104673
parameter = [0.3076862577862622] likelihood = -64180783.3739391
parameter = [0.17259599057115327] likelihood = -203966952.46065295
parameter = [0.24328874394744082] likelihood = -102654306.33714175
parameter = [0.16922081748205514] likelihood = -212184490.27643338
parameter = [0.6429342989226562] likelihood = -14699020.78394659
parameter = [0.6459924535395876] likelihood = -14560178.90030453
parameter = [0.13451217311845692] likelihood = -335813416.8145043
parameter = [0.2018774276373658] likelihood = -149089027.98568648
parameter = [0.1826924570774729] likelihood = -182045512.18660328
parameter = [0.3282739821772223] likelihood = -56383014.60690918
parameter = [0.3844794964689311] likelihood = -41103128.29649152
parameter = [0.26312546214701066] likelihood = -87759765.48086646
parameter = [0.13618715634124104] likelihood = -327603790.30634916
parameter = [0.10126752047320346] likelihood = -592489800.275313
parameter = [0.3384294710533574] likelihood = -53049937.02780171
parameter = [0.180926103475305] likelihood = -185617428.0859942
parameter = [0.20781599088707992] likelihood = -140690017.10256287
parameter = [0.1714609327273437] likelihood = -206676381.34407753
parameter = [0.09335826573051285] likelihood = -697133066.5558305
parameter = [0.31134162104019536] likelihood = -62682577.96945879
parameter = [0.3087072536936672] likelihood = -63756951.74274871
parameter = [0.2904614913410099] likelihood = -72018501.99938974
parameter = [0.2967489706319872] likelihood = -68998995.52187687
parameter = [0.21307915940340783] likelihood = -133825617.77193193
parameter = [0.11017882537014577] likelihood = -500524052.96396685
parameter = [0.40133738882347936] likelihood = -37722634.48650877
parameter = [0.149201477029059] likelihood = -272944893.0606956
parameter = [0.17242072740408448] likelihood = -204381822.1185633
parameter = [0.22646203354936884] likelihood = -118476004.60364142
parameter = [0.4508005152373204] likelihood = -29898712.731619913
parameter = [0.07883883601512416] likelihood = -977554165.6401594
parameter = [0.1213164898359822] likelihood = -412839794.66511655
parameter = [0.06401900817154048] likelihood = -1482529553.5611868
parameter = [0.4205003609374992] likelihood = -34362798.50359758
parameter = [0.6714915070680798] likelihood = -13475367.243547829
parameter = [0.5218608214943357] likelihood = -22310638.207220554
parameter = [0.3514774052612884] likelihood = -49184289.8620917
parameter = [0.2773579096405724] likelihood = -78984176.83944806
parameter = [0.20163829748448886] likelihood = -149442857.82707164
parameter = [0.20264983747659795] likelihood = -147954673.55431736
parameter = [0.27008822440392516] likelihood = -83293268.98291472
parameter = [0.2673929798403069] likelihood = -84980876.11470948
parameter = [0.2304044332419676] likelihood = -114456257.99248374
parameter = [0.19633714180042644] likelihood = -157621798.8847379
parameter = [0.2798367620080043] likelihood = -77591058.0141608
parameter = [0.21347665565895307] likelihood = -133327711.73208228
parameter = [0.08787151145527906] likelihood = -786909959.5780041
parameter = [0.30558601510656036] likelihood = -65066022.97614418
parameter = [0.2512115597177574] likelihood = -96281304.39876702
parameter = [0.1776854585437127] likelihood = -192449787.90007946
parameter = [0.22259378925461015] likelihood = -122629546.03725661
parameter = [0.24972086334373012] likelihood = -97434228.30306017
parameter = [0.23404701740804174] likelihood = -110921308.24862799
parameter = [0.479468199195728] likelihood = -26430276.84875688
parameter = [0.4995473860970269] likelihood = -24348262.20173442
parameter = [0.2925191577170811] likelihood = -71008866.69439207
parameter = [0.1762112443653578] likelihood = -195683395.50699812
parameter = [0.252548578309865] likelihood = -95264556.3428835
parameter = [0.1774493851150148] likelihood = -192962187.57833582
parameter = [0.1889259396741737] likelihood = -170230755.91513535
parameter = [0.0812291256767141] likelihood = -920868632.8514221
parameter = [0.06265040726037636] likelihood = -1548008873.9439244
parameter = [0.183562577769119] likelihood = -180323743.5310827
parameter = [0.16762261919348495] likelihood = -216249926.5663182
parameter = [0.25987719773248413] likelihood = -89967334.88613658
parameter = [0.35729454778239683] likelihood = -47595780.516447425
parameter = [0.20768552227207135] likelihood = -140866836.33851844
parameter = [0.22361562653263112] likelihood = -121511367.1149486
parameter = [0.10154754124866704] likelihood = -589226684.1689951
parameter = [0.07142497237746889] likelihood = -1191025550.0179307
parameter = [0.037062999470269996] likelihood = -4423236115.629601
parameter = [0.1363412291956757] likelihood = -326863789.15071774
parameter = [0.07375114919797239] likelihood = -1117078403.7551262
