Sample for t = 0.0
parameter = [0.3550430376288458] likelihood = -48201353.0053543
parameter = [0.11919237236385974] likelihood = -427685275.14420897
parameter = [0.10117853397817182] likelihood = -593532447.8735526
parameter = [0.19917114026540345] likelihood = -153168122.40279162
parameter = [0.15429275194823225] likelihood = -255229086.62920526
parameter = [0.1549517975991796] likelihood = -253062607.5518243
parameter = [0.1419280579771038] likelihood = -301637059.94510823
parameter = [0.3397567967790885] likelihood = -52636247.046780616
parameter = [0.09127247746476805] likelihood = -729359352.5451298
parameter = [0.2337734501708066] likelihood = -111181065.64141846
parameter = [0.10320963833831348] likelihood = -570401577.8791773
parameter = [0.2878026944745388] likelihood = -73355300.04083803
parameter = [0.08495624087645055] likelihood = -841842139.2700806
parameter = [0.10581349778027549] likelihood = -542674092.2639941
parameter = [0.12791925602100834] likelihood = -371320882.2589066
parameter = [0.07889033930488165] likelihood = -976278196.4211619
parameter = [0.2999554726512401] likelihood = -67531692.04623318
parameter = [0.18018649574954343] likelihood = -187144355.4179447
parameter = [0.11111803827639585] likelihood = -492098563.33367324
parameter = [0.2213282753227584] likelihood = -124035901.13070452
parameter = [0.2354594781497379] likelihood = -109594523.03607722
parameter = [0.16263063209155987] likelihood = -229729366.36947128
parameter = [0.22887122039300667] likelihood = -115994883.93657695
parameter = [0.14798766268877525] likelihood = -277440715.68311054
parameter = [0.12576717707824145] likelihood = -384137404.8118682
parameter = [0.03752193957108341] likelihood = -4315694461.103947
parameter = [0.08471983738171253] likelihood = -846546872.004694
parameter = [0.09140726367772145] likelihood = -727209958.6434648
parameter = [0.05521685787565055] likelihood = -1992864937.3427317
parameter = [0.03129631646218487] likelihood = -6203471649.97377
parameter = [0.156514546182499] likelihood = -248034334.85148335
parameter = [0.10416675125019441] likelihood = -559967718.5129547
parameter = [0.19235717511394262] likelihood = -164211825.07849056
parameter = [0.1377740166253988] likelihood = -320100668.3789678
parameter = [0.2243587343905315] likelihood = -120707774.45161322
parameter = [0.4420231053759957] likelihood = -31097920.364237964
parameter = [0.2953466201911108] likelihood = -69655786.3956992
parameter = [0.2280657884400829] likelihood = -116815620.42839357
parameter = [0.19210089383458376] likelihood = -164650266.45734692
parameter = [0.21936105852563173] likelihood = -126270569.65034905
parameter = [0.25564795946348623] likelihood = -92968654.20455128
parameter = [0.23302976199731332] likelihood = -111891841.6552912
parameter = [0.20364459357746728] likelihood = -146512756.0572361
parameter = [0.2281804895687467] likelihood = -116698208.84741569
parameter = [0.31142132259769817] likelihood = -62650497.57578359
parameter = [0.3422310628706773] likelihood = -51877898.17740552
parameter = [0.2987033762441916] likelihood = -68099033.49218008
parameter = [0.2719655009377926] likelihood = -82147352.82282282
parameter = [0.12790625864980182] likelihood = -371396350.66527724
parameter = [0.2526881919184845] likelihood = -95159315.54027833
parameter = [0.25351958327726337] likelihood = -94536208.58667585
parameter = [0.2811862230662292] likelihood = -76848099.45792884
parameter = [0.11459299955983197] likelihood = -462705915.8484634
parameter = [0.6072647776427538] likelihood = -16476514.202113084
parameter = [0.26152548838839396] likelihood = -88836852.33326004
parameter = [0.14133694582590228] likelihood = -304165403.7115473
parameter = [0.3628807361885585] likelihood = -46141680.33090171
parameter = [0.315409405489251] likelihood = -61076189.742602855
parameter = [0.12310732631979429] likelihood = -400916034.6679381
parameter = [0.371145703879738] likelihood = -44109523.13111984
parameter = [0.4340846124684239] likelihood = -32245751.320285436
parameter = [0.1835554302204903] likelihood = -180337787.22203362
parameter = [0.2473317679034796] likelihood = -99325646.74803606
parameter = [0.13585348946218487] likelihood = -329215008.0523864
parameter = [0.13823470246671324] likelihood = -317970665.93600225
parameter = [0.21342231382433222] likelihood = -133395616.48763353
parameter = [0.49090839757720933] likelihood = -25212761.669025056
parameter = [0.338691604558112] likelihood = -52967851.83751205
parameter = [0.2853542303196115] likelihood = -74619541.81773707
parameter = [0.164946639634188] likelihood = -223323419.70082504
parameter = [0.37595115114237854] likelihood = -42989104.95453166
parameter = [0.5616039208630678] likelihood = -19264652.434180394
parameter = [0.6738043094930498] likelihood = -13383019.013506845
parameter = [0.7736622026597133] likelihood = -10151241.869750788
parameter = [0.8541922715754721] likelihood = -8327428.888794129
parameter = [0.8277902624300889] likelihood = -8867097.558051571
parameter = [0.5705122763365601] likelihood = -18667728.11530427
parameter = [0.659029476168018] likelihood = -13989814.316138566
parameter = [0.5615252229650968] likelihood = -19270052.698458694
parameter = [0.07980077891197629] likelihood = -954128738.3737986
parameter = [0.1342546076116268] likelihood = -337103159.1447677
parameter = [0.057533389167430685] likelihood = -1835613859.5605986
parameter = [0.45497893616732193] likelihood = -29352069.037750453
parameter = [0.5727941527550384] likelihood = -18519288.916684218
parameter = [0.40624712917767625] likelihood = -36816343.26309687
parameter = [0.3707265778854878] likelihood = -44209315.78187854
parameter = [0.28236081729244983] likelihood = -76210067.71624503
parameter = [0.3768124216068923] likelihood = -42792811.40726968
parameter = [0.09180863729962303] likelihood = -720865351.4535599
parameter = [0.20127309460334217] likelihood = -149985667.3659246
parameter = [0.12532608639345674] likelihood = -386846140.36015344
parameter = [0.10053471824632747] likelihood = -601158650.9830933
parameter = [0.10091501598753924] likelihood = -596636261.375966
parameter = [0.047834776127607566] likelihood = -2655423262.5986195
parameter = [0.08624017334077579] likelihood = -816962259.5499213
parameter = [0.22934149530201656] likelihood = -115519666.34923792
parameter = [0.20173773392112895] likelihood = -149295573.49756467
parameter = [0.251370500232606] likelihood = -96159586.3616727
parameter = [0.1050133330345518] likelihood = -550975572.0006664
parameter = [0.17448106692185897] likelihood = -199583482.2508434
parameter = [0.40109194763932987] likelihood = -37768816.00672308
parameter = [0.2498770287987959] likelihood = -97312479.57062653
parameter = [0.4879125922423136] likelihood = -25523326.974691026
parameter = [0.4379125733436567] likelihood = -31684470.691318437
parameter = [0.1765181439095645] likelihood = -195003545.3897975
parameter = [0.15218243762697117] likelihood = -262356690.92645174
parameter = [0.10421581926210137] likelihood = -559440542.5913931
parameter = [0.31786792692222904] likelihood = -60135066.68772979
parameter = [0.14812985523540056] likelihood = -276908330.51165926
parameter = [0.19750242752797995] likelihood = -155767314.4503016
parameter = [0.23608517303755278] likelihood = -109014377.6301929
parameter = [0.24548210561140746] likelihood = -100828086.57880405
parameter = [0.0700821771734314] likelihood = -1237103599.0793533
parameter = [0.16534057124985693] likelihood = -222260530.45083672
parameter = [0.09098850386261091] likelihood = -733919093.7790666
parameter = [0.05406766972385659] likelihood = -2078480435.6227806
parameter = [0.04634103141374405] likelihood = -2829370727.963763
parameter = [0.07513113185580754] likelihood = -1076419052.3618314
parameter = [0.10526154492230508] likelihood = -548380180.6819127
parameter = [0.2884218545832327] likelihood = -73040691.96442099
parameter = [0.15316908870476045] likelihood = -258987593.30005765
parameter = [0.09720106656613661] likelihood = -643100980.5181161
parameter = [0.11229866524074021] likelihood = -481805817.176476
parameter = [0.08640097829233533] likelihood = -813924115.0239999
parameter = [0.13381186468837228] likelihood = -339337594.1305555
parameter = [0.08819489393044708] likelihood = -781149844.641283
parameter = [0.07017273842748149] likelihood = -1233912577.4334986
parameter = [0.10254537159320659] likelihood = -577815389.3377459
parameter = [0.06957553061456374] likelihood = -1255186288.9315686
parameter = [0.1219014720838765] likelihood = -408887020.50101733
parameter = [0.11105544268070153] likelihood = -492653455.27123785
parameter = [0.08859868684462642] likelihood = -774045811.4857042
parameter = [0.09303054353333773] likelihood = -702053351.7003481
parameter = [0.045156901677402446] likelihood = -2979702979.054416
parameter = [0.04483879079762072] likelihood = -3022132237.605155
parameter = [0.027902619175538157] likelihood = -7804252431.042471
parameter = [0.20012180463754228] likelihood = -151716350.3374455
parameter = [0.15521940015033886] likelihood = -252190785.77668786
parameter = [0.11806172094405919] likelihood = -435916198.2203243
parameter = [0.18242354226828222] likelihood = -182582622.89110357
parameter = [0.1649212474987086] likelihood = -223392193.074668
parameter = [0.11610155814649631] likelihood = -450759751.0179597
parameter = [0.08577427252848459] likelihood = -825861364.1003792
parameter = [0.3003757953678121] likelihood = -67342827.01411125
parameter = [0.3640967255345808] likelihood = -45833992.38363667
parameter = [0.2065867756965226] likelihood = -142369241.84133416
parameter = [0.4582132078369785] likelihood = -28939171.824988507
parameter = [0.4546560160055945] likelihood = -29393778.53094842
parameter = [0.16424104473218556] likelihood = -225246378.16192856
parameter = [0.43627456109274854] likelihood = -31922838.73791027
parameter = [0.12446424221605175] likelihood = -392222068.54621035
parameter = [0.21961939814377635] likelihood = -125973678.70475104
parameter = [0.4014688016793386] likelihood = -37697943.022641115
parameter = [0.2909842523840664] likelihood = -71759968.10023138
parameter = [0.1370841149758019] likelihood = -323330709.9189475
parameter = [0.17469721268323962] likelihood = -199089914.69337982
parameter = [0.04936110312311634] likelihood = -2493742076.463251
parameter = [0.14568585152635416] likelihood = -286277005.1289333
parameter = [0.30838041045816095] likelihood = -63892171.548207104
parameter = [0.10707116898662941] likelihood = -530000331.17932487
parameter = [0.09575118009477486] likelihood = -662724402.9750568
parameter = [0.14317184559516385] likelihood = -296418955.4706848
parameter = [0.19069957735023213] likelihood = -167078954.22925672
parameter = [0.1383393226164974] likelihood = -317489912.371663
parameter = [0.3325237907056911] likelihood = -54951022.17190449
parameter = [0.11538528709540842] likelihood = -456373435.4136633
parameter = [0.17541969602977384] likelihood = -197453348.80244195
parameter = [0.13655567493713808] likelihood = -325837987.5838133
parameter = [0.18199336877016836] likelihood = -183446775.61535645
parameter = [0.09250200117201386] likelihood = -710099124.7227746
parameter = [0.07150763249496005] likelihood = -1188273580.5157454
parameter = [0.0973607882218483] likelihood = -640992679.9519224
parameter = [0.10747407213876083] likelihood = -526034006.1631418
parameter = [0.12976830917630958] likelihood = -360814457.4319337
