Sample for t = 0.0
parameter = [0.3019360591063821] likelihood = -66648633.1484798
parameter = [0.5366723447221448] likelihood = -21096138.569666702
parameter = [0.4011278593026726] likelihood = -37762053.67484382
parameter = [0.20614316663066284] likelihood = -142982643.13505566
parameter = [0.11868341578239197] likelihood = -431361272.7190432
parameter = [0.10567139583385532] likelihood = -544134599.0993555
parameter = [0.09135600681385571] likelihood = -728026214.9817569
parameter = [0.17153600069090946] likelihood = -206495528.56894976
parameter = [0.12134986603889536] likelihood = -412612730.048389
parameter = [0.3514572150006753] likelihood = -49189941.030603446
parameter = [0.41883864295729323] likelihood = -34636004.10239811
parameter = [0.16459362641993625] likelihood = -224282395.63825196
parameter = [0.307640080540686] likelihood = -64200052.08529194
parameter = [0.3078913048596707] likelihood = -64095326.60212508
parameter = [0.20174017161803373] likelihood = -149291965.5382144
parameter = [0.2432240407313075] likelihood = -102708930.43772803
parameter = [0.10086800050015621] likelihood = -597192586.1353201
parameter = [0.0960431635563268] likelihood = -658700994.6389842
parameter = [0.13251080485241426] likelihood = -346033892.8140305
parameter = [0.22694835540964803] likelihood = -117968790.19262324
parameter = [0.23648636672005077] likelihood = -108644810.6062285
parameter = [0.2178142607144886] likelihood = -128070346.71008068
parameter = [0.1828879989865648] likelihood = -181656438.0181709
parameter = [0.21663495698656116] likelihood = -129468504.57641731
parameter = [0.08988722507028238] likelihood = -752012895.380307
parameter = [0.09492089137172446] likelihood = -674369030.0774765
parameter = [0.19614666507762185] likelihood = -157928078.49796414
parameter = [0.4484398053193047] likelihood = -30214331.165248178
parameter = [0.05690635641376218] likelihood = -1876288796.4677567
parameter = [0.03654641712749626] likelihood = -4549164446.505661
parameter = [0.05455232491121443] likelihood = -2041713108.1940145
parameter = [0.2715213295545302] likelihood = -82416336.08401866
parameter = [0.3433261279483317] likelihood = -51547488.916773
parameter = [0.30568587984119067] likelihood = -65023516.99467067
parameter = [0.1543865035901125] likelihood = -254919203.56086627
parameter = [0.10416890138680097] likelihood = -559944602.3104864
parameter = [0.3993769576319508] likelihood = -38093883.306073315
parameter = [0.19011969955178668] likelihood = -168099712.55311596
parameter = [0.16535180978086306] likelihood = -222230318.53986138
parameter = [0.12913139812621874] likelihood = -364382504.59005153
parameter = [0.260860487235817] likelihood = -89290366.08239466
parameter = [0.09129571106985547] likelihood = -728988174.2875261
parameter = [0.25637656845970574] likelihood = -92440980.8405162
parameter = [0.20012160707820115] likelihood = -151716649.8852889
parameter = [0.18507711873935476] likelihood = -177384533.66514033
parameter = [0.20826554103444203] likelihood = -140083301.6727103
parameter = [0.15482420808519448] likelihood = -253479873.57347786
parameter = [0.10635685865619854] likelihood = -537143378.6420083
parameter = [0.06351256805730998] likelihood = -1506266773.1749592
parameter = [0.023451836285131977] likelihood = -11047589921.592047
parameter = [0.03941303361347991] likelihood = -3911483672.8584976
parameter = [0.13701622945367423] likelihood = -323651181.62622994
parameter = [0.15624294648223705] likelihood = -248897408.764606
parameter = [0.1517516963208668] likelihood = -263848183.35116655
parameter = [0.13751834509482927] likelihood = -321292025.20499694
parameter = [0.11851196434583448] likelihood = -432610277.58446807
parameter = [0.09950637575795167] likelihood = -613648129.3606229
parameter = [0.13631702189902836] likelihood = -326979888.98159325
parameter = [0.37948725368470787] likelihood = -42191683.678963915
parameter = [0.42808685745457786] likelihood = -33155645.514386438
parameter = [0.22606547692971055] likelihood = -118892022.58836547
parameter = [0.1875992380013482] likelihood = -172647013.34161073
parameter = [0.18170219944170043] likelihood = -184035176.56386703
parameter = [0.13119566100722452] likelihood = -353006155.6112057
parameter = [0.08637761734735462] likelihood = -814364428.3555593
parameter = [0.10171795387623371] likelihood = -587254022.4091116
parameter = [0.06410470701214518] likelihood = -1478568342.3495462
parameter = [0.018017121509617068] likelihood = -18717611921.62584
parameter = [0.02255256229390882] likelihood = -11946191455.629515
parameter = [0.029072253566329545] likelihood = -7188923395.466255
parameter = [0.08802477130424544] likelihood = -784172168.5282159
parameter = [0.0702742522429222] likelihood = -1230350285.3602176
parameter = [0.1447890348171757] likelihood = -289834361.8688691
parameter = [0.24596242734990353] likelihood = -100434671.7423842
parameter = [0.36676614220705517] likelihood = -45169237.72994981
parameter = [0.5469662872263543] likelihood = -20309549.928432863
parameter = [0.5861420994020708] likelihood = -17685431.118382405
parameter = [0.4365849473209707] likelihood = -31877464.370193787
parameter = [0.4183432111409758] likelihood = -34718089.492384896
parameter = [0.714430160707197] likelihood = -11904254.533273904
parameter = [0.19633180633231934] likelihood = -157630365.98907655
parameter = [0.18699028799626524] likelihood = -173773324.15189764
parameter = [0.5528388243751171] likelihood = -19880365.145800617
parameter = [0.12566371997935244] likelihood = -384770174.5962781
parameter = [0.09780432809597868] likelihood = -635192094.8791761
parameter = [0.1672922359258208] likelihood = -217104908.36689997
parameter = [0.2178726677330131] likelihood = -128001690.05208194
parameter = [0.07726058761298095] likelihood = -1017900258.7835081
parameter = [0.5579057154420408] likelihood = -19520898.950717717
parameter = [0.31432629303409787] likelihood = -61497830.25503321
parameter = [0.17715978117733408] likelihood = -193593575.66113052
parameter = [0.10127542535158714] likelihood = -592397312.3458842
parameter = [0.1606129158867953] likelihood = -235537619.6533087
parameter = [0.1297378322231181] likelihood = -360983996.5278843
